empID,employee_name,age,gender,date_of_birth,date_of_joining,role,salary,department_id,address,contact_number,email_id,marital_status
1,Taylor Beck,36,Male,1989-10-12,2025-06-24,Executive,194367,3,"112 Wood Passage Suite 479, New Darrellburgh, NM 78380",380193621280,paulcarpenter@example.com,Non-married
2,Lonnie Schroeder,44,Female,1981-06-23,2024-08-31,Analyst,183482,3,"PSC 0616, Box 2218, APO AA 28368",280349319119,adamsdavid@example.com,Single
3,Jodi Richardson,29,Male,1996-05-07,2017-08-28,Executive,98493,6,"81904 Martin Bridge, North John, NE 10872",6675998852,patrick70@example.org,Non-married
4,Pamela Trujillo,29,Male,1996-01-29,2017-01-28,Manager,157720,6,"751 Kerr Islands, Duffystad, AK 90469",175625590178,cryan@example.net,Single
5,Jennifer Mack,33,Male,1992-07-27,2022-07-02,Lead,238926,7,"233 Scott Greens, East Theresa, MH 25009",723814318287,michaeljones@example.org,Married
6,Brett Davis,30,Male,1995-02-01,2016-11-03,Analyst,156201,2,"0961 Gardner Harbor, Sullivanmouth, HI 02138",521409614627,middletondavid@example.org,Non-married
7,Mary Guzman,32,Male,1993-06-02,2017-12-25,Analyst,274435,1,"2380 Donald Pines Apt. 900, Youngstad, MH 01867",6660472780,zgonzales@example.com,Single
8,Lisa Werner,29,Female,1996-12-31,2020-09-08,Analyst,214441,4,"9726 Cory Fords Suite 632, Emilychester, VA 90345",629517586624,veronicaaustin@example.com,Married
9,Andres Mason,36,Female,1989-05-27,2024-11-21,Executive,181278,1,"1226 Sean Spur, Lauramouth, TX 94003",1642218504,bakerdenise@example.net,Married
10,Mikayla Andrade,59,Male,1966-08-19,2021-04-17,Lead,261744,2,"1676 Hartman Hills Suite 143, New Johnchester, ND 80737",65900917599,kleindavid@example.org,Non-married
11,David Davis,37,Male,1988-10-14,2017-07-04,Analyst,283175,6,"70853 Fitzgerald Plain, Port Corey, MN 18515",00274045724,jessicataylor@example.com,Single
12,Margaret Price,49,Female,1976-08-09,2017-12-06,Developer,228433,4,"059 Brandon Trafficway, North Maryville, IN 86676",7259821649,vjones@example.net,Married
13,Elizabeth Keith,28,Female,1997-08-14,2018-08-28,Analyst,273482,7,"009 Parks Forges, Lake Aprilbury, MH 30478",712644958032,gabrielnelson@example.net,Non-married
