payroll_id,empID,month,base_salary,bonus_paid,deductions,net_salary,payment_date
1,1,January 2020,182304,2000,416,183888,2022-06-27
2,1,February 2020,182304,1000,1500,181804,2024-02-12
3,1,March 2020,182304,3000,590,184714,2022-12-12
4,1,April 2020,182304,3000,1720,183584,2023-10-03
5,1,May 2020,182304,3000,1233,184071,2023-08-15
6,1,June 2020,182304,0,772,181532,2025-03-20
7,1,July 2020,182304,0,1818,180486,2025-08-04
8,1,August 2020,182304,2000,50,184254,2023-11-10
9,1,September 2020,182304,0,1774,180530,2023-08-06
10,1,October 2020,182304,0,1644,180660,2022-04-27
11,1,November 2020,182304,1000,31,183273,2022-01-08
12,1,December 2020,182304,3000,920,184384,2022-03-27
13,2,January 2020,70431,1000,1219,70212,2024-04-03
14,2,February 2020,70431,0,1318,69113,2023-07-29
15,2,March 2020,70431,3000,1709,71722,2024-04-03
16,2,April 2020,70431,0,1400,69031,2025-02-26
17,2,May 2020,70431,0,1067,69364,2022-03-09
18,2,June 2020,70431,3000,1621,71810,2022-12-24
19,2,July 2020,70431,3000,569,72862,2023-10-29
20,2,August 2020,70431,1000,689,70742,2022-07-19
21,2,September 2020,70431,1000,1804,69627,2023-11-12
22,2,October 2020,70431,2000,448,71983,2023-07-01
23,2,November 2020,70431,0,1199,69232,2024-02-17
24,2,December 2020,70431,0,371,70060,2022-12-01
25,3,January 2020,220625,3000,1988,221637,2025-06-12
26,3,February 2020,220625,2000,1566,221059,2023-07-16
27,3,March 2020,220625,2000,106,222519,2022-09-15
28,3,April 2020,220625,3000,1615,222010,2023-05-21
29,3,May 2020,220625,1000,1239,220386,2023-08-21
30,3,June 2020,220625,2000,1666,220959,2022-08-26
31,3,July 2020,220625,2000,128,222497,2023-04-18
32,3,August 2020,220625,1000,1127,220498,2022-01-14
33,3,September 2020,220625,3000,1100,222525,2023-04-26
34,3,October 2020,220625,3000,533,223092,2022-12-28
35,3,November 2020,220625,2000,51,222574,2023-04-02
36,3,December 2020,220625,2000,1025,221600,2025-09-13
37,4,January 2020,156542,0,1492,155050,2022-04-19
38,4,February 2020,156542,3000,584,158958,2025-04-06
39,4,March 2020,156542,0,1335,155207,2024-05-17
40,4,April 2020,156542,3000,612,158930,2024-03-07
41,4,May 2020,156542,1000,402,157140,2022-11-18
42,4,June 2020,156542,2000,37,158505,2023-03-25
43,4,July 2020,156542,2000,1797,156745,2024-09-30
44,4,August 2020,156542,3000,323,159219,2023-04-13
45,4,September 2020,156542,2000,85,158457,2025-07-12
46,4,October 2020,156542,2000,1787,156755,2025-08-21
47,4,November 2020,156542,3000,1559,157983,2024-02-03
48,4,December 2020,156542,3000,1787,157755,2023-02-11
49,5,January 2020,152328,0,725,151603,2025-07-03
50,5,February 2020,152328,0,1423,150905,2023-04-25
51,5,March 2020,152328,0,690,151638,2025-01-20
52,5,April 2020,152328,2000,1178,153150,2022-09-20
53,5,May 2020,152328,2000,1286,153042,2023-01-06
54,5,June 2020,152328,0,65,152263,2022-10-26
55,5,July 2020,152328,3000,887,154441,2024-04-03
56,5,August 2020,152328,2000,1703,152625,2024-12-12
57,5,September 2020,152328,0,1195,151133,2023-05-30
58,5,October 2020,152328,0,208,152120,2023-11-14
59,5,November 2020,152328,2000,1364,152964,2024-04-20
60,5,December 2020,152328,3000,1700,153628,2025-03-26
61,6,January 2020,116435,2000,1676,116759,2022-10-30
62,6,February 2020,116435,2000,98,118337,2023-04-07
63,6,March 2020,116435,0,376,116059,2022-06-08
64,6,April 2020,116435,1000,400,117035,2023-05-02
65,6,May 2020,116435,1000,1331,116104,2024-07-16
66,6,June 2020,116435,2000,729,117706,2024-11-29
67,6,July 2020,116435,3000,1881,117554,2023-03-19
68,6,August 2020,116435,0,1775,114660,2023-12-05
69,6,September 2020,116435,1000,669,116766,2023-10-04
70,6,October 2020,116435,3000,992,118443,2023-03-19
71,6,November 2020,116435,0,17,116418,2024-02-25
72,6,December 2020,116435,0,1535,114900,2022-08-08
73,7,January 2020,232626,3000,312,235314,2023-05-18
74,7,February 2020,232626,1000,827,232799,2025-02-20
75,7,March 2020,232626,3000,1607,234019,2024-11-26
76,7,April 2020,232626,0,1535,231091,2024-10-19
77,7,May 2020,232626,1000,1684,231942,2024-09-03
78,7,June 2020,232626,3000,1863,233763,2023-08-07
79,7,July 2020,232626,3000,1761,233865,2023-05-11
80,7,August 2020,232626,1000,407,233219,2022-04-09
81,7,September 2020,232626,2000,886,233740,2023-09-20
82,7,October 2020,232626,3000,1349,234277,2023-02-14
83,7,November 2020,232626,3000,262,235364,2022-03-05
84,7,December 2020,232626,2000,23,234603,2024-08-17
85,8,January 2020,98119,1000,345,98774,2024-08-26
86,8,February 2020,98119,2000,571,99548,2025-07-19
87,8,March 2020,98119,0,596,97523,2025-01-27
88,8,April 2020,98119,3000,1717,99402,2022-05-12
89,8,May 2020,98119,1000,1554,97565,2023-04-07
90,8,June 2020,98119,2000,331,99788,2025-05-10
91,8,July 2020,98119,1000,1096,98023,2022-04-10
92,8,August 2020,98119,1000,1672,97447,2023-07-23
93,8,September 2020,98119,1000,292,98827,2025-06-16
94,8,October 2020,98119,0,693,97426,2024-05-27
95,8,November 2020,98119,0,514,97605,2023-08-31
96,8,December 2020,98119,0,1611,96508,2024-07-18
97,9,January 2020,223743,1000,874,223869,2024-05-04
98,9,February 2020,223743,2000,555,225188,2025-12-18
99,9,March 2020,223743,1000,635,224108,2024-12-23
100,9,April 2020,223743,3000,1007,225736,2025-06-17
101,9,May 2020,223743,0,929,222814,2023-11-16
102,9,June 2020,223743,1000,21,224722,2024-08-05
103,9,July 2020,223743,1000,557,224186,2022-09-14
104,9,August 2020,223743,3000,1171,225572,2025-01-01
105,9,September 2020,223743,1000,736,224007,2023-04-28
106,9,October 2020,223743,3000,716,226027,2023-01-06
107,9,November 2020,223743,1000,539,224204,2025-08-02
108,9,December 2020,223743,0,710,223033,2025-11-04
109,10,January 2020,244793,0,1446,243347,2025-09-15
110,10,February 2020,244793,0,164,244629,2023-04-25
111,10,March 2020,244793,0,768,244025,2024-04-15
112,10,April 2020,244793,1000,719,245074,2024-05-19
113,10,May 2020,244793,3000,1978,245815,2024-08-16
114,10,June 2020,244793,3000,752,247041,2023-03-10
115,10,July 2020,244793,3000,1972,245821,2023-02-11
116,10,August 2020,244793,0,1196,243597,2022-08-31
117,10,September 2020,244793,2000,442,246351,2024-10-30
118,10,October 2020,244793,0,1910,242883,2023-06-13
119,10,November 2020,244793,1000,1587,244206,2023-07-14
120,10,December 2020,244793,1000,1413,244380,2023-09-30
121,11,January 2020,98813,3000,1587,100226,2025-07-08
122,11,February 2020,98813,1000,1579,98234,2022-06-08
123,11,March 2020,98813,1000,197,99616,2022-09-23
124,11,April 2020,98813,0,643,98170,2023-06-14
125,11,May 2020,98813,2000,392,100421,2025-05-24
126,11,June 2020,98813,1000,385,99428,2023-01-07
127,11,July 2020,98813,0,1357,97456,2025-02-02
128,11,August 2020,98813,0,1735,97078,2024-02-20
129,11,September 2020,98813,2000,1581,99232,2023-03-30
130,11,October 2020,98813,2000,94,100719,2022-05-15
131,11,November 2020,98813,3000,1356,100457,2023-01-22
132,11,December 2020,98813,2000,1081,99732,2023-11-27
133,12,January 2020,276373,2000,560,277813,2023-10-12
134,12,February 2020,276373,3000,525,278848,2022-09-06
135,12,March 2020,276373,1000,1085,276288,2023-02-27
136,12,April 2020,276373,0,192,276181,2023-04-16
137,12,May 2020,276373,1000,892,276481,2022-07-24
138,12,June 2020,276373,2000,781,277592,2022-07-30
139,12,July 2020,276373,1000,399,276974,2022-06-16
140,12,August 2020,276373,2000,18,278355,2025-03-06
141,12,September 2020,276373,1000,1595,275778,2022-11-03
142,12,October 2020,276373,1000,974,276399,2025-01-16
143,12,November 2020,276373,3000,959,278414,2022-01-08
